step,block_size,lr,train_loss,train_ema,gn
328,128,1.999938e-03,2.3627,2.5397,0.250
329,128,1.999934e-03,2.4909,2.5373,0.489
330,128,1.999929e-03,2.4852,2.5347,0.518
331,128,1.999924e-03,2.4833,2.5321,0.504
332,128,1.999919e-03,2.4886,2.5299,1.138
333,128,1.999914e-03,2.4699,2.5269,1.074
334,128,1.999909e-03,2.3386,2.5175,0.125
335,128,1.999903e-03,2.3046,2.5069,0.096
336,128,1.999898e-03,2.3034,2.4967,0.099
337,128,1.999892e-03,2.2736,2.4855,0.078
338,128,1.999886e-03,2.2595,2.4742,0.088
339,128,1.999880e-03,2.2803,2.4645,0.109
340,128,1.999873e-03,2.2929,2.4560,0.100
341,128,1.999867e-03,2.2787,2.4471,0.107
342,128,1.999861e-03,2.2591,2.4377,0.126
343,128,1.999854e-03,2.2563,2.4286,0.125
344,128,1.999847e-03,2.2545,2.4199,0.139
345,128,1.999840e-03,2.2441,2.4111,0.123
346,128,1.999833e-03,2.2509,2.4031,0.160
347,128,1.999825e-03,2.2577,2.3958,0.142
348,128,1.999818e-03,2.2324,2.3877,0.113
349,128,1.999810e-03,2.2294,2.3798,0.116
350,128,1.999802e-03,2.6539,2.3935,2.262
351,128,1.999794e-03,2.2783,2.3877,0.548
352,128,1.999786e-03,2.2302,2.3798,0.208
353,128,1.999778e-03,2.2498,2.3733,0.215
354,128,1.999769e-03,2.2153,2.3654,0.243
355,128,1.999761e-03,2.2346,2.3589,0.284
356,128,1.999752e-03,2.2435,2.3531,0.248
357,128,1.999743e-03,2.2014,2.3455,0.247
358,128,1.999734e-03,2.2086,2.3387,0.291
359,128,1.999725e-03,2.2002,2.3318,0.207
360,128,1.999715e-03,2.1789,2.3241,0.157
361,128,1.999706e-03,2.1902,2.3174,0.391
362,128,1.999696e-03,2.2911,2.3161,0.935
363,128,1.999686e-03,2.1651,2.3086,0.131
364,128,1.999676e-03,2.1457,2.3004,0.106
365,128,1.999666e-03,2.1430,2.2925,0.107
366,128,1.999656e-03,2.2319,2.2895,0.503
367,128,1.999645e-03,2.1465,2.2824,0.291
368,128,1.999634e-03,2.1960,2.2780,0.343
369,128,1.999624e-03,2.2347,2.2759,0.428
370,128,1.999613e-03,2.2199,2.2731,0.350
371,128,1.999601e-03,2.2495,2.2719,0.417
372,128,1.999590e-03,2.1251,2.2646,0.242
373,128,1.999579e-03,2.1376,2.2582,0.585
374,128,1.999567e-03,2.1232,2.2515,0.236
375,128,1.999555e-03,2.1148,2.2446,0.217
376,128,1.999543e-03,2.0954,2.2372,0.144
377,128,1.999531e-03,2.0984,2.2302,0.149
378,128,1.999519e-03,2.0643,2.2219,0.143
379,128,1.999507e-03,2.0992,2.2158,0.229
380,128,1.999494e-03,2.0965,2.2098,0.213
381,128,1.999481e-03,2.0303,2.2009,0.133
382,128,1.999468e-03,2.0638,2.1940,0.106
383,128,1.999455e-03,2.0443,2.1865,0.138
384,128,1.999442e-03,2.0857,2.1815,0.577
385,128,1.999429e-03,2.1014,2.1775,0.588
386,128,1.999415e-03,2.0302,2.1701,0.303
387,128,1.999402e-03,2.0259,2.1629,0.155
388,128,1.999388e-03,2.0530,2.1574,0.148
389,128,1.999374e-03,2.0342,2.1512,0.316
390,128,1.999360e-03,2.0168,2.1445,0.194
391,128,1.999345e-03,2.0206,2.1383,0.172
392,128,1.999331e-03,2.1079,2.1368,0.258
393,128,1.999316e-03,2.0035,2.1301,0.254
394,128,1.999301e-03,2.0302,2.1251,0.263
395,128,1.999286e-03,1.9925,2.1185,0.238
396,128,1.999271e-03,2.0105,2.1131,0.238
397,128,1.999256e-03,2.0408,2.1095,0.249
398,128,1.999241e-03,2.0584,2.1069,0.213
399,128,1.999225e-03,2.0425,2.1037,0.250
400,128,1.999209e-03,2.0017,2.0986,0.155
401,128,1.999194e-03,1.9851,2.0929,0.168
402,128,1.999177e-03,2.1792,2.0973,2.577
403,128,1.999161e-03,1.9576,2.0903,0.152
404,128,1.999145e-03,2.0359,2.0876,0.255
405,128,1.999128e-03,2.0151,2.0839,0.237
406,128,1.999112e-03,2.0093,2.0802,0.251
407,128,1.999095e-03,1.9749,2.0749,0.308
408,128,1.999078e-03,1.9757,2.0700,0.311
409,128,1.999061e-03,1.9681,2.0649,0.256
410,128,1.999043e-03,1.9651,2.0599,0.137
411,128,1.999026e-03,1.9625,2.0550,0.121
412,128,1.999008e-03,1.9324,2.0489,0.090
413,128,1.998991e-03,2.0090,2.0469,0.252
414,128,1.998973e-03,1.9404,2.0416,0.080
415,128,1.998954e-03,1.9545,2.0372,0.084
416,128,1.998936e-03,1.9106,2.0309,0.096
417,128,1.998918e-03,1.8951,2.0241,0.147
418,128,1.998899e-03,1.9286,2.0193,0.154
419,128,1.998881e-03,2.0990,2.0233,1.410
420,128,1.998862e-03,1.9163,2.0180,0.191
421,128,1.998843e-03,1.9197,2.0130,0.161
422,128,1.998823e-03,2.0028,2.0125,0.261
423,128,1.998804e-03,1.9025,2.0070,0.129
424,128,1.998784e-03,1.9124,2.0023,0.104
425,128,1.998765e-03,1.8832,1.9963,0.124
426,128,1.998745e-03,1.8962,1.9913,0.158
427,128,1.998725e-03,1.8992,1.9867,0.198
428,128,1.998705e-03,1.8897,1.9819,0.199
429,128,1.998684e-03,1.8860,1.9771,0.229
430,128,1.998664e-03,1.9023,1.9733,0.196
431,128,1.998643e-03,1.8855,1.9689,0.177
432,128,1.998623e-03,1.8591,1.9635,0.204
433,128,1.998602e-03,1.8855,1.9596,0.122
434,128,1.998581e-03,1.8563,1.9544,0.125
435,128,1.998559e-03,1.8574,1.9496,0.155
436,128,1.998538e-03,2.0333,1.9537,1.429
437,128,1.998516e-03,1.8516,1.9486,0.222
438,128,1.998495e-03,1.8389,1.9431,0.247
439,128,1.998473e-03,1.8637,1.9392,0.231
440,128,1.998451e-03,1.8744,1.9359,0.237
441,128,1.998428e-03,1.8614,1.9322,0.241
442,128,1.998406e-03,1.8395,1.9276,0.231
443,128,1.998384e-03,1.8487,1.9236,0.230
444,128,1.998361e-03,1.8503,1.9200,0.201
445,128,1.998338e-03,1.8415,1.9160,0.187
446,128,1.998315e-03,1.8425,1.9124,0.176
447,128,1.998292e-03,1.8510,1.9093,0.196
448,128,1.998269e-03,1.8092,1.9043,0.228
449,128,1.998245e-03,1.8682,1.9025,0.209
450,128,1.998221e-03,1.8620,1.9005,0.186
451,128,1.998198e-03,1.8492,1.8979,0.214
452,128,1.998174e-03,1.8181,1.8939,0.199
453,128,1.998150e-03,1.8175,1.8901,0.185
454,128,1.998125e-03,1.8571,1.8884,0.194
455,128,1.998101e-03,1.8055,1.8843,0.195
456,128,1.998076e-03,1.8090,1.8805,0.159
457,128,1.998052e-03,1.9386,1.8834,0.767
458,128,1.998027e-03,1.8008,1.8793,0.160
459,128,1.998002e-03,1.8309,1.8769,0.153
460,128,1.997977e-03,1.7778,1.8719,0.231
461,128,1.997951e-03,1.8195,1.8693,0.217
